mobile_prefix,province_name,city_name,isp_code,isp_name,source_prefix,operator_raw,operator_code_raw,reason
1390367,黑龙江,七台河,CMCC,中国移动,13903674,移动,1,same_7_digit_prefix_has_multiple_location_variants
1390367,黑龙江,鸡西,CMCC,中国移动,13903679,移动,1,same_7_digit_prefix_has_multiple_location_variants
1390445,吉林,通化,CMCC,中国移动,1390445,中国移动,1,base_row_selected_for_import
1390445,吉林,梅河口,CMCC,中国移动,13904456,移动,1,same_7_digit_prefix_has_multiple_location_variants
1390445,吉林,通化,CMCC,中国移动,13904459,移动,1,same_7_digit_prefix_has_multiple_location_variants
1390447,吉林,延边,CMCC,中国移动,1390447,中国移动,1,base_row_selected_for_import
1390447,吉林,延边,CMCC,中国移动,13904478,移动,1,same_7_digit_prefix_has_multiple_location_variants
1390447,吉林,珲春,CMCC,中国移动,13904479,移动,1,same_7_digit_prefix_has_multiple_location_variants
1390467,黑龙江,七台河,CMCC,中国移动,1390467,中国移动,1,base_row_selected_for_import
1390467,黑龙江,七台河,CMCC,中国移动,13904674,移动,1,same_7_digit_prefix_has_multiple_location_variants
1390467,黑龙江,鸡西,CMCC,中国移动,13904679,移动,1,same_7_digit_prefix_has_multiple_location_variants
1390468,黑龙江,双鸭山,CMCC,中国移动,1390468,中国移动,1,base_row_selected_for_import
1390468,黑龙江,鹤岗,CMCC,中国移动,13904684,移动,1,same_7_digit_prefix_has_multiple_location_variants
1390468,黑龙江,双鸭山,CMCC,中国移动,13904689,移动,1,same_7_digit_prefix_has_multiple_location_variants
1390488,黑龙江,双鸭山,CMCC,中国移动,1390488,中国移动,1,base_row_selected_for_import
1390488,黑龙江,鹤岗,CMCC,中国移动,13904884,移动,1,same_7_digit_prefix_has_multiple_location_variants
1390488,黑龙江,双鸭山,CMCC,中国移动,13904889,移动,1,same_7_digit_prefix_has_multiple_location_variants
1390972,青海,海东,CMCC,中国移动,1390972,中国移动,1,base_row_selected_for_import
1390972,青海,西宁,CMCC,中国移动,13909724,移动,1,same_7_digit_prefix_has_multiple_location_variants
1390972,青海,海东,CMCC,中国移动,13909729,移动,1,same_7_digit_prefix_has_multiple_location_variants
1394334,吉林,通化,CMCC,中国移动,1394334,中国移动,1,base_row_selected_for_import
1394334,吉林,梅河口,CMCC,中国移动,13943348,移动,1,same_7_digit_prefix_has_multiple_location_variants
1394334,吉林,通化,CMCC,中国移动,13943349,移动,1,same_7_digit_prefix_has_multiple_location_variants
1394338,吉林,延边,CMCC,中国移动,1394338,中国移动,1,base_row_selected_for_import
1394338,吉林,延边,CMCC,中国移动,13943385,移动,1,same_7_digit_prefix_has_multiple_location_variants
1394338,吉林,珲春,CMCC,中国移动,13943389,移动,1,same_7_digit_prefix_has_multiple_location_variants
1394353,吉林,通化,CMCC,中国移动,1394353,中国移动,1,base_row_selected_for_import
1394353,吉林,梅河口,CMCC,中国移动,13943536,移动,1,same_7_digit_prefix_has_multiple_location_variants
1394353,吉林,通化,CMCC,中国移动,13943539,移动,1,same_7_digit_prefix_has_multiple_location_variants
